impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-098114,A524755,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524755,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Female,Domestic Longhair,Brn Tabby / Tortie,04/24/2017 12:00:00 AM,Received on,10700 68TH PL S,SEATTLE,WA,98178,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524755,Image Copyright HLP Inc. 2017,"10700 68TH PL S
SEATTLE, WA 98178
","Received on: 2017-04-24<p></p> Found Near: 10700 68TH PL S, SEATTLE WA 98178<p></p> Description: Brn Tabby / Tortie Female Domestic Longhair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K14-072684,A435579,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Lilly,Cat,11 YEARS,Spayed Female,Domestic Shorthair,Blue / White,04/26/2014 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,NEWCASTLE,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A435579,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2014-04-26<p></p> Description: Blue / White Spayed Female Domestic Shorthair Cat<p></p> Age: 11 YEARS<p></p> Current Location: In RASKC Foster Home <p></p>This cat has been temperment tested and staff has made the following recommmendations:<p></p><p></p><p></p>I need a quiet, calm home.<p></p><p></p><p></p><p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-097442,A472771,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Felix,Cat,13 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,03/21/2017 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A472771,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2017-03-21<p></p> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 13 YEARS<p></p> Current Location: In RASKC Foster Home <p></p>Hi!  My name is Felix and I am available for adoption at the RASKC Pet Adoption Center in Kent.<p></p><p></p>I was brought in by my previous owner on 03/21/2017 because I was not doing well with a new baby at home.  I lived in a home with young/older children.  My previous owner described me as vocal and active.<p></p><p></p>My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p></p><p></p>Adoption Fee: $30.00<p></p>"
K17-098043,A524578,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1702837,LOST,Finn,Dog,,Male,Tibetan Mastiff,Unknown,04/20/2017 12:00:00 AM,Date Lost,RETREAT KANASKAT & KANASKAT PALMER,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1702837,Image Copyright HLP Inc. 2017,"RETREAT KANASKAT &amp; KANASKAT PALMER
",
K17-098063,A524601,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524601,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Nathan,Dog,1 YEAR,Neutered Male,Cocker Spaniel / Shih Tzu,White / Brown,04/21/2017 12:00:00 AM,Received on,10900 SE 254TH PL,KENT,WA,98030,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524601,Image Copyright HLP Inc. 2017,"10900 SE 254TH PL
KENT, WA 98030
","Received on: 2017-04-21<p></p> Found Near: 10900 SE 254TH PL, KENT WA 98030<p></p> Description: White / Brown Neutered Male Cocker Spaniel / Shih Tzu Dog<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098047,A524581,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,1 YEAR,Male,Domestic Shorthair,Org Tabby,04/21/2017 12:00:00 AM,Received on,14200 LAKE HILLS BLVD,BELLEVUE,WA,98007,BELLEVUE,,,,Image Copyright HLP Inc. 2017,"14200 LAKE HILLS BLVD
BELLEVUE, WA 98007
","Received on: 2017-04-21<p></p> Found Near: 14200 LAKE HILLS BLVD, BELLEVUE WA 98007<p></p> Description: Org Tabby Male Domestic Shorthair Cat<p></p> Age: 1 YEAR<p></p>"
K17-097793,A523660,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1696749,LOST,Tilly,Dog,,Female,Bichon Frise,Unknown,04/06/2017 12:00:00 AM,Date Lost,SE 184TH STREET & 252ND AVENUE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1696749,Image Copyright HLP Inc. 2017,"SE 184TH STREET &amp; 252ND AVENUE SE
MAPLE VALLEY, WA 98038
",
K17-098142,A524828,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524828,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White / Brown,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524828,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White / Brown Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097676,A523161,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523161,Meowtropolitan,Junebug,Cat,4 YEARS,Spayed Female,Domestic Shorthair,Brn Tabby / White,04/01/2017 12:00:00 AM,Received on,20900 108TH AVE SE,KENT,WA,98031,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523161,Image Copyright HLP Inc. 2017,"20900 108TH AVE SE
KENT, WA 98031
","Received on: 2017-04-01<p></p> Found Near: 20900 108TH AVE SE, KENT WA 98031<p></p> Description: Brn Tabby / White Spayed Female Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-098142,A524828,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524828,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White / Brown,04/25/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524828,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-25<p></p> Description: White / Brown<p></p>  Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K17-098135,A524821,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1704807,LOST,Bubba,Dog,,Male,Labrador Retriever,Unknown,04/24/2017 12:00:00 AM,Date Lost,S 168 ST & 51 AVE S,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1704807,Image Copyright HLP Inc. 2017,"S 168 ST &amp; 51 AVE S
",
K17-097516,A522754,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1691409,LOST,Roger,Dog,,Male,Labrador Retriever,Unknown,03/25/2017 12:00:00 AM,Date Lost,MY OTHER DOG FOUND @09TH AVE & SE 256TH,,,,JURISDICTION,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1691409,Image Copyright HLP Inc. 2017,"MY OTHER DOG FOUND @09TH AVE &amp; SE 256TH
",
K17-097811,A523706,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Shorthair,Black,04/08/2017 12:00:00 AM,Received on,17500 MIDVALE AVE N,SHORELINE,WA,98133,SHORELINE,47.756248,-122.343662,,Image Copyright HLP Inc. 2017,"17500 MIDVALE AVE N
SHORELINE, WA 98133
(47.756248, -122.343662)","Received on: 2017-04-08<p></p> Found Near: 17500 MIDVALE AVE N, SHORELINE WA 98133<p></p> Description: Black Unaltered Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-097918,A524191,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,Beyonce,Dead Dog,5 MONTHS,Female,Pit Bull,Brown / White,04/13/2017 12:00:00 AM,Received on,5900 S 235TH ST,KENT,WA,98032,KENT,47.390878,-122.260432,,Image Copyright HLP Inc. 2017,"5900 S 235TH ST
KENT, WA 98032
(47.390878, -122.260432)","Received on: 2017-04-13<p></p> Found Near: 5900 S 235TH ST, KENT WA 98032<p></p> Description: Brown / White Female Pit Bull Dog<p></p> Age: 5 MONTHS<p></p>"
K17-098143,A524829,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524829,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Guinea Pig,NO AGE,Unaltered,Guinea Pig,White,04/25/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524829,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-25<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White Unaltered Guinea Pig Guinea Pig<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098013,A524501,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524501,Meowtropolitan,Grayson,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,04/19/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524501,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-19<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-097653,A523139,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,3 YEARS,Male,Domestic Shorthair,Black,03/31/2017 12:00:00 AM,Received on,700 E JAMES ST,KENT,WA,98031,KENT,47.386658,-122.225642,,Image Copyright HLP Inc. 2017,"700 E JAMES ST
KENT, WA 98031
(47.386658, -122.225642)","Received on: 2017-03-31<p></p> Found Near: 700 E JAMES ST, KENT WA 98031<p></p> Description: Black Male Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p>"
K17-097806,A523696,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,NO AGE,Female,Domestic Shorthair,Brn Tabby,04/07/2017 12:00:00 AM,Received on,10600 148TH AVE SE,RENTON,WA,98059,KING COUNTY,47.507678,-122.143302,,Image Copyright HLP Inc. 2017,"10600 148TH AVE SE
RENTON, WA 98059
(47.507678, -122.143302)","Received on: 2017-04-07<p></p> Found Near: 10600 148TH AVE SE, RENTON WA 98059<p></p> Description: Brn Tabby Female Domestic Shorthair Cat<p></p> Age: NO AGE<p></p>"
K17-097604,A523056,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A523056,Meowtropolitan,Dream,Cat,4 YEARS,Spayed Female,Domestic Shorthair,Black / White,03/29/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523056,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-03-29<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Black / White Spayed Female Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p> Current Location: Meowtropolitan<p></p>"
K17-097826,A519499,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A519499,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Amber,Cat,6 YEARS,Spayed Female,Domestic Longhair,Black / White,04/09/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A519499,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-04-09<p></p> Description: Black / White<p></p>  Spayed Female Domestic Longhair Cat<p></p> Age: 6 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi, my name is Amber and I'm at the Eastside Pet Adoption Center inside the Kirkland Petco waiting for a new home. I received the name Amber because of my gorgeous amber colored eyes! You can also find me by my ID #A519499. I am about 9 pounds.<p></p><p></p>I was brought in by my previous adopter on April 9, 2017 because I did not get along with the other cat in the home. My previous owner described me as shy but very loving.<p></p><p></p>My previous family loved me very much but felt I was not a good fit for their home. I spent most of my time hiding under the bed while I was with them. Because of my shy nature, I would do best in a calm, quiet home with older, respectful children and no other cats. My previous owner said I took a while to warm up and feel confident in my new home, I would do best with someone who has patience for me to warm up!<p></p><p></p>My personality color is BLUE.  I am a gentle and loving cat who likes to take things slow.  I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up.  Once I get to know you, I will be a very devoted friend!<p></p><p></p>I'd love to meet you! Come meet me today from 1pm to 5:30pm at the Eastside Pet Adoption Center inside the Kirkland Petco, or call (425) 406-8081 to learn more about me!<p></p> Adoption Fee: $30.00<p></p>"
K17-097846,A523876,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1698190,LOST,Theo,Cat,,Male,Domestic Shorthair,Unknown,04/03/2017 12:00:00 AM,Date Lost,NE 142ND STREET & 93RD AVENUE NE,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1698190,Image Copyright HLP Inc. 2017,"NE 142ND STREET &amp; 93RD AVENUE NE
KIRKLAND, WA 98034
",
K17-097573,A522971,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Bird,NO AGE,Female,Duck,Brown / Tricolor,03/28/2017 12:00:00 AM,Received on,6700 NE 185TH ST,KENMORE,WA,98028,KENMORE,,,,Image Copyright HLP Inc. 2017,"6700 NE 185TH ST
KENMORE, WA 98028
","Received on: 2017-03-28<p></p> Found Near: 6700 NE 185TH ST, KENMORE WA 98028<p></p> Description: Brown / Tricolor Female Duck Bird<p></p> Age: NO AGE<p></p>"
K17-097929,A524223,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524223,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pid,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,04/15/2017 12:00:00 AM,Received on,700 MYRTINE ST,ENUMCLAW,WA,98022,ENUMCLAW,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524223,Image Copyright HLP Inc. 2017,"700 MYRTINE ST
ENUMCLAW, WA 98022
","Received on: 2017-04-15<p></p> Found Near: 700 MYRTINE ST, ENUMCLAW WA 98022<p></p> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-098006,A524494,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A524494,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Toby,Dog,5 YEARS,Neutered Male,Rottweiler,Black / Tan,04/19/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524494,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-19<p></p> Description: Black / Tan<p></p>  Neutered Male Rottweiler Dog<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p><p></p> Adoption Fee: $150.00<p></p>"
K17-098122,A522974,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A522974,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Petey,Dog,1 YEAR 1 MONTH,Neutered Male,Pit Bull,White / Black,04/24/2017 12:00:00 AM,Received on,,,,,,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A522974,Image Copyright HLP Inc. 2017,,"Received on: 2017-04-24<p></p> Description: White / Black<p></p>  Neutered Male Pit Bull Dog<p></p> Age: 1 YEAR 1 MONTH<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi!  My name is Petey and I am available for adoption at the RASKC Pet Adoption Center in Kent <p></p><p></p>I was brought in by my previous owner on 03/30/17. I lived in a home with other cats/dogs and young children. I got along well with everyone! My previous owner described me as outgoing, loving, playful.<p></p><p></p>My personality color is GREEN.  I am an adaptable dog who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>I am full of energy and I love to play!  I tend to calm down more when the people around me stay calm.  I do best when I have lots of exercise and something to keep my mind busy.<p></p><p></p>My caregivers have noticed that I seem to do well with other [small dogs/large dogs].  When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p><p></p><p></p><p></p> Adoption Fee: $100.00<p></p>"
K17-098033,A524560,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Dog,NO AGE,Unaltered,Not Provided,Tan,04/20/2017 12:00:00 AM,Received on,19000 INTERNATIONAL BLVD,SEATAC,WA,98188,SEATAC,47.432718,-122.295282,,Image Copyright HLP Inc. 2017,"19000 INTERNATIONAL BLVD
SEATAC, WA 98188
(47.432718, -122.295282)","Received on: 2017-04-20<p></p> Found Near: 19000 INTERNATIONAL BLVD, SEATAC WA 98188<p></p> Description: Tan Unaltered Not Provided Dog<p></p> Age: NO AGE<p></p>"
K17-097870,A523996,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,18 DAYS,Unaltered,Domestic Shorthair,Brn Tabby,04/12/2017 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523996,Image Copyright HLP Inc. 2017,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2017-04-12<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p></p> Age: 18 DAYS<p></p> Current Location: In RASKC Foster Home <p></p>"
K14-076951,A449967,Regional Animal Services of King County,ADOPTABLE,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,Penny,Cat,8 YEARS,Spayed Female,Domestic Shorthair,Calico,11/02/2014 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A449967,Image Copyright HLP Inc. 2017,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)",Received on: 2014-11-02<p></p> Description: Calico Spayed Female Domestic Shorthair Cat<p></p> Age: 8 YEARS<p></p> Current Location: In RASKC Foster Home <p></p><p></p>Adoption Fee: $30.00<p></p>
K17-097807,A523703,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,,,Dead Cat,9 MONTHS,Male,Domestic Shorthair,White / Gray Tabby,04/07/2017 12:00:00 AM,Received on,18300 142ND AVE SE,RENTON,WA,98058,KING COUNTY,,,,Image Copyright HLP Inc. 2017,"18300 142ND AVE SE
RENTON, WA 98058
","Received on: 2017-04-07<p></p> Found Near: 18300 142ND AVE SE, RENTON WA 98058<p></p> Description: White / Gray Tabby Male Domestic Shorthair Cat<p></p> Age: 9 MONTHS<p></p>"
K17-097879,A524022,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Black,04/12/2017 12:00:00 AM,Received on,19300 INTERNATIONAL BLVD,SEATAC,WA,98188,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524022,Image Copyright HLP Inc. 2017,"19300 INTERNATIONAL BLVD
SEATAC, WA 98188
","Received on: 2017-04-12<p></p> Found Near: 19300 INTERNATIONAL BLVD, SEATAC WA 98188<p></p> Description: Black Female Domestic Shorthair Cat<p></p> Age: 6 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-098048,A524582,Regional Animal Services of King County,FOUND,http://www.kingcounty.gov/safety/regionalAnimalServices/AboutUs.aspx,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Mediumhair,Brn Tabby / Tortie,04/21/2017 12:00:00 AM,Received on,14200 26TH PL S,SEATAC,WA,98168,SEATAC,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524582,Image Copyright HLP Inc. 2017,"14200 26TH PL S
SEATAC, WA 98168
","Received on: 2017-04-21<p></p> Found Near: 14200 26TH PL S, SEATAC WA 98168<p></p> Description: Brn Tabby / Tortie Female Domestic Mediumhair Cat<p></p> Age: 6 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>"
K17-098079,A524621,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A524621,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Chester,Cat,13 YEARS,Neutered Male,Domestic Shorthair,Orange / White,04/22/2017 12:00:00 AM,Received on,5000 W LAKE SAMMAMISH PKWY NE,REDMOND,WA,98052,REDMOND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A524621,Image Copyright HLP Inc. 2017,"5000 W LAKE SAMMAMISH PKWY NE
REDMOND, WA 98052
","Received on: 2017-04-22<p></p> Found Near: 5000 W LAKE SAMMAMISH PKWY NE, REDMOND WA 98052<p></p> Description: Orange / White Neutered Male Domestic Shorthair Cat<p></p> Age: 13 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097837,A523864,Regional Animal Services of King County,ADOPTABLE,http://www.petharbor.com/pet.asp?uaid=KING.A523864,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Wilber,Cat,7 YEARS,Neutered Male,Domestic Longhair,Black / White,04/10/2017 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A523864,Image Copyright HLP Inc. 2017,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2017-04-10<p></p> Description: Black / White<p></p>  Neutered Male Domestic Longhair Cat<p></p> Age: 7 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi!  My name is Wilber and I am available for adoption at the Eastside Pet Adoption Center in Kirkland.<p></p><p></p>I was brought in by a good samaritan on 4/10/17.<p></p><p></p>My personality color is GREEN.  I am an adaptable cat who loves to go with the flow!  I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>I am an independent kitty who likes to do my own thing!<p></p><p></p><p></p> Adoption Fee: $30.00<p></p>"
K17-098124,A477169,Regional Animal Services of King County,FOUND,http://www.petharbor.com/pet.asp?uaid=KING.A477169,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Roxy,Dog,7 YEARS,Spayed Female,Jack Russell Terrier / Australian Cattle Dog,White / Black,04/24/2017 12:00:00 AM,Received on,5300 S 283RD CT,AUBURN,WA,98001,KING COUNTY,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A477169,Image Copyright HLP Inc. 2017,"5300 S 283RD CT
AUBURN, WA 98001
","Received on: 2017-04-24<p></p> Found Near: 5300 S 283RD CT, AUBURN WA 98001<p></p> Description: White / Black Spayed Female Jack Russell Terrier / Australian Cattle Dog Dog<p></p> Age: 7 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-097663,A523149,Regional Animal Services of King County,LOST,http://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1694120,LOST,Leo,Dog,,Male,Australian Shepherd,Unknown,03/31/2017 12:00:00 AM,Date Lost,120TH AVENUE NE & NE 132ND CT,KIRKLAND,WA,98034,KIRKLAND,,,http://www.petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1694120,Image Copyright HLP Inc. 2017,"120TH AVENUE NE &amp; NE 132ND CT
KIRKLAND, WA 98034
",
